method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
qk_mmd_zz,QK-MMD ZZ,30,10.262794138671405,0.25,0.0,0.05,total
energy_distance,Energy distance,30,10.550636056649576,0.25,0.0,0.1,total
jsd,JSD,30,10.601662169663081,0.25,0.0,0.1,total
ks_max,KS-max,30,10.219476937664052,0.25,0.0,0.1,total
mmd_rbf,MMD-RBF,30,9.980116729663374,0.25,0.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.671129141995527,0.25,0.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,9.427932027342807,0.25,0.0,0.1,total
energy_distance,Energy distance,30,10.304166666666667,0.25,0.25,0.0,total
jsd,JSD,30,10.19765625,0.25,0.25,0.0,total
ks_max,KS-max,30,10.053385416666666,0.25,0.25,0.0,total
mmd_rbf,MMD-RBF,30,10.197135416666667,0.25,0.25,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.170833333333333,0.25,0.25,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,10.74765625,0.25,0.25,0.0,total
energy_distance,Energy distance,30,10.302980272331625,0.25,0.25,0.01,total
jsd,JSD,30,10.197223508632975,0.25,0.25,0.01,total
ks_max,KS-max,30,10.049161235433072,0.25,0.25,0.01,total
mmd_rbf,MMD-RBF,30,10.157933547966337,0.25,0.25,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.99252958086622,0.25,0.25,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,10.58068382773428,0.25,0.25,0.01,total
energy_distance,Energy distance,30,10.298234694991455,0.25,0.25,0.05,total
jsd,JSD,30,10.195492543164873,0.25,0.25,0.05,total
ks_max,KS-max,30,10.032264510498692,0.25,0.25,0.05,total
mmd_rbf,MMD-RBF,30,10.00112607316502,0.25,0.25,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.279314570997764,0.25,0.25,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,9.912794138671405,0.25,0.25,0.05,total
energy_distance,Energy distance,30,10.292302723316244,0.25,0.25,0.1,total
jsd,JSD,30,10.193328836329748,0.25,0.25,0.1,total
ks_max,KS-max,30,10.01114360433072,0.25,0.25,0.1,total
mmd_rbf,MMD-RBF,30,9.805116729663375,0.25,0.25,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.387795808662196,0.25,0.25,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,9.077932027342806,0.25,0.25,0.1,total
energy_distance,Energy distance,30,10.045833333333333,0.25,0.5,0.0,total
jsd,JSD,30,9.789322916666666,0.25,0.5,0.0,total
ks_max,KS-max,30,9.845052083333334,0.25,0.5,0.0,total
mmd_rbf,MMD-RBF,30,10.022135416666666,0.25,0.5,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.8875,0.25,0.5,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,10.39765625,0.25,0.5,0.0,total
energy_distance,Energy distance,30,10.04464693899829,0.25,0.5,0.01,total
jsd,JSD,30,9.78889017529964,0.25,0.5,0.01,total
ks_max,KS-max,30,9.840827902099738,0.25,0.5,0.01,total
mmd_rbf,MMD-RBF,30,9.982933547966336,0.25,0.5,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.709196247532885,0.25,0.5,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,10.23068382773428,0.25,0.5,0.01,total
energy_distance,Energy distance,30,10.03990136165812,0.25,0.5,0.05,total
jsd,JSD,30,9.78715920983154,0.25,0.5,0.05,total
ks_max,KS-max,30,9.823931177165358,0.25,0.5,0.05,total
mmd_rbf,MMD-RBF,30,9.826126073165021,0.25,0.5,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.99598123766443,0.25,0.5,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,9.562794138671403,0.25,0.5,0.05,total
energy_distance,Energy distance,30,10.033969389982909,0.25,0.5,0.1,total
jsd,JSD,30,9.784995502996415,0.25,0.5,0.1,total
ks_max,KS-max,30,9.802810270997385,0.25,0.5,0.1,total
mmd_rbf,MMD-RBF,30,9.630116729663374,0.25,0.5,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.104462475328862,0.25,0.5,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,8.727932027342806,0.25,0.5,0.1,total
energy_distance,Energy distance,30,9.529166666666667,0.25,1.0,0.0,total
jsd,JSD,30,8.97265625,0.25,1.0,0.0,total
ks_max,KS-max,30,9.428385416666666,0.25,1.0,0.0,total
mmd_rbf,MMD-RBF,30,9.672135416666666,0.25,1.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.320833333333333,0.25,1.0,0.0,total
