method,window_idx,severity_t,balanced_accuracy_mean,gain_vs_no_adapt_mean,alarm_rate,trigger_rate,method_label
qk_mmd_pauli_xz,54,0.6875,0.88125,0.18229166666666666,0.23333333333333334,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,55,0.7,0.87265625,0.18098958333333334,0.4,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,56,0.7125,0.8734375,0.18072916666666666,0.23333333333333334,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,57,0.725,0.8708333333333333,0.19401041666666666,0.3,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,58,0.7375,0.8846354166666667,0.20625,0.3333333333333333,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,59,0.75,0.8755208333333333,0.19192708333333333,0.4,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,60,0.7625,0.8828125,0.21067708333333332,0.26666666666666666,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,61,0.775,0.8760416666666667,0.20755208333333333,0.4666666666666667,0.13333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,62,0.7875,0.8802083333333334,0.21536458333333333,0.23333333333333334,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,63,0.8,0.8734375,0.21822916666666667,0.3333333333333333,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,64,0.8125,0.8731770833333333,0.22265625,0.3333333333333333,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,65,0.825,0.859375,0.2109375,0.16666666666666666,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,66,0.8375,0.8708333333333333,0.23802083333333332,0.3333333333333333,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,67,0.85,0.87734375,0.24635416666666668,0.3333333333333333,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,68,0.8625,0.8869791666666667,0.24713541666666666,0.5,0.13333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,69,0.875,0.8721354166666667,0.24791666666666667,0.23333333333333334,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,70,0.8875,0.8744791666666667,0.2559895833333333,0.26666666666666666,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,71,0.9,0.871875,0.25729166666666664,0.26666666666666666,0.03333333333333333,QK-MMD PauliXZ
